Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Координатний свердлильно фрезерний верстат “СNC”, габарити: довжина – 6000 мм, ширина – 2500 мм, висота – 2800 мм, рік виготовлення невстановлений, б/в, в кількості – 1 шт.  ","Торги відбулися",Обладнання,"Закарпатська обл.","Учасник №2",489471,40176.00,163114.56
"Будівля зерносховища № 1, загальною площею 276,2 кв.м, за адресою: Донецька область, Великоновосілківський р-н, с. Шахтарське, вул. Набережна, буд. 61/3","Торги відбулися",Будівлі,"Донецька обл.","Учасник №1",489289,76755.00,7100000.00
"Електросамокат, торгівельної марки ""SELUP"" - 1 шт.  ","Торги відбулися",Інше,"Одеська обл.","Учасник №24",489239,10508.00,10508.00
"Вантажний автомобіль: ЗИЛ 431412 СПЕЦ. КДМ-130В (піскорозкидувач), зеленого кольору, 1990 р.в., ДНЗ: 27204ЕВ, VIN: L3076933","Торги відбулися","Вантажні автомобілі","Донецька обл.","Учасник №1",489143,18933.75,18933.75
"Домоволодіння, загальною площею 46,10 кв.м, житловою площею 19,20 кв.м та земельна ділянка площею 0.2315 га, кадастровий номер 3223386001:01:055:0031, знаходиться за адресою Київська обл., Переяслав-Хмельницький р., с. Помоклі, вулиця Травнева, 47","Реєстрація учасників","Житлова нерухомість",м.Київ,,492845,40810.00,
"ІПОТЕКА: земельна ділянка площею 1,1168 га., кадастровий номер 3222480400:06:002:0179, що розташована за адресою: Київська область, Києво-Святошинський район, с. Білогородка","Реєстрація учасників","Земельні ділянки",м.Київ,,492846,738372.60,
"Вантажний автомобіль: ГАЗ 3307 (паливозаправник), 1994 р.в., зеленого кольору, ДНЗ: 21388ЕА. VIN:XTH330700R1545739","Торги відбулися","Вантажні автомобілі","Донецька обл.","Учасник №7",489137,12909.75,12909.75
"½ частина чотирикімнатної квартири, загальною площею 64,0 кв.м., за адресою: Одеська обл., м. Подільськ (стара назва Котовськ), вул. Толстого Льва, буд. 5, кв. 10","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,492847,113840.30,
"½ частина трикімнатної квартири, загальною площею 65,1 кв.м., за адресою: м. Одеса, вул. Корольова академіка, будинок 22, квартира 75","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,492848,358600.20,
"Аукціон із різнотипних товарів в кількості 6 найменувань","Реєстрація учасників","Аукціон із різнотипних товарів","Одеська обл.",,492849,28576.00,
"Колоди дерев породи ""дуб"" в кількості 5 штук з розмірами: №1 довжиною 3,08 м, діаметром 50 см; №2 довжиною 3,20 м, діаметром 26 см; №3 довжиною 3,13 м, діаметром 50 см; №4 довжиною 2,47 м, діаметром 55 см.; №5 довжиною 3,10 м діаметром 55 см","Реєстрація учасників",Сировина,"Львівська обл.",,492850,23195.70,
"Аукціон із різнотипних товарів в кількості 9 найменувань","Реєстрація учасників","Аукціон із різнотипних товарів","Одеська обл.",,492851,19901.50,
"Земельна ділянка площею 0,1900 га., кадастровий номер 4623383900:10:004:0009, що розташована за адресою: Львівська область, Перемишлянський район, с. Унів","Реєстрація учасників","Земельні ділянки","Львівська обл.",,492852,36540.00,
"Хрестоподібний ключ, б/в","Реєстрація учасників",Інше,"Волинська обл.",,492854,52.50,
"Аукціон із різнотипних товарів в кількості 12 найменувань","Реєстрація учасників","Аукціон із різнотипних товарів","Одеська обл.",,492853,24714.00,
"Спортивні костюми в асортименті - 15 костюмів","Реєстрація учасників",Одяг,"Одеська обл.",,492855,5970.00,
"Спортивні костюми ТМ OFF-WHITE C/O VIRGIL ABLOH в кількості 15 костюмів","Реєстрація учасників",Одяг,"Одеська обл.",,492856,5970.00,
"Предмет іпотеки. Житловий будинок заг. пл. 52,0 м.кв. та земельна ділянка заг. пл. 0,0658 га, кадастровий № 5910400000:06:057:0001, що знаходяться за адресою: Сумська обл., м. Конотоп, вул. Вільямса, 36","Реєстрація учасників","Житлова нерухомість","Сумська обл.",,492702,225200.00,
"Дерев’яний човен коричневого кольору, з двома дерев’яними веслами","Реєстрація учасників","Водний транспорт","Полтавська обл.",,491783,1500.00,
"Гумовий човен темно-зеленого кольору, з одним дерев'яним веслом","Реєстрація учасників","Водний транспорт","Полтавська обл.",,491782,850.00,
"Жіночі сумки торгівельних марок ""H&M"" та ""Mango"" - 2 шт., а також ремінь з натуральної шкіри, торгівельної марки ""Massimo Dutti"" - 1 шт.","Реєстрація учасників",Аксесуари,"Закарпатська обл.",,492070,2707.91,
"Приміщення прохідної загальною площею 19,8 кв.м, що знаходиться за  адресою: Хмельницька область, смт.Летичів, вул. І.Франка 33/2","Реєстрація учасників",Будівлі,"Хмельницька обл.",,492329,17240.00,
"Автомобіль PEUGEOT, модель 307 XR 1.4, 2003 р.в., ДНЗ АА2300CA, № кузова VF33CKFWB83273132","Реєстрація учасників","Легкові автомобілі",м.Київ,,492326,59696.00,
